name,address,contact,time,lat,lng,code,category
대한민국PC방,서울특별시 강남구 강남대로94길 13,070-4316-3876,매일00:00~24:00,37.4995448,127.0262169,0,11
게임이너스 강남역점,서울특별시 강남구 강남대로96길 5,070-4349-3273,매일00:00~24:00,37.4997792,127.0252526,0,11
3POP PC방,서울특별시 강남구 테헤란로4길 29 정우씨티,070-7589-0622,평일00:00~24:00,37.4965201,127.0283078,0,11
PC네오,서울특별시 강남구 강남대로94길 55,02-569-7461,매일00:00~24:00,37.5004833,127.0294608,0,11
피씨앤쿡,서울특별시 강남구 언주로93길 30 역삼빌딩,02-557-7674,매일00:00~24:00,37.5035373,127.0379183,0,11
제니스노래방,서울특별시 강남구 테헤란로10길 16 지하1층,010-2786-4578,매일00:00~24:00,37.4965197,127.0217417,0,12
라라코인노래방,서울특별시 강남구 테헤란로1길 32,010-7106-2979,매일11:00~05:00,37.5003569,127.0252609,1,12
악쓰는하마코인노래연습장,서울특별시 강남구 테헤란로1길 40,02-552-2234,매일11:00~05:00,37.5008635,127.0250711,1,12
슈퍼스타코인노래연습장 강남역점,서울특별시 강남구 테헤란로1길 28,02-538-2153,매일11:00~02:00,37.500113,127.0254111,1,12
팝스타코인노래연습장,서울특별시 강남구 강남대로102길 11,02-558-7436,매일09:00~05:30,37.5018853,127.0245286,1,12
퍼니랜드,서울특별시 강남구 봉은사로2길 35 소현빌딩,070-9893-3774,매일 09:00~20:00,37.504319,127.0269694,2,13
당구의신 빌리우스,서울특별시 강남구 논현로94길 22,02-3452-4939,매일00:00~24:00,37.5025853,127.0359549,2,13
라인볼링장,서울특별시 강남구 강남대로 308 랜드마크타워 지하2층,02-555-4199,매일11:00~06:00,37.5025849,127.0293888,1,13
조이빌리아드클럽,서울특별시 강남구 강남대로94길 14,02-555-2464,평일00:00~24:00,37.4992478,127.0263701,0,13
템플스트라이크,서울특별시 서초구 강남대로61길 13 지하1층,02-3477-8008,매일00:00~24:00,37.4981939,127.0221427,0,13
놀숲 강남대성학원점,서울특별시 강남구 테헤란로4길 35 4층,02-563-3363,매일10:00~24:00,37.4961737,127.0284862,2,14
벌툰 강남역점,서울특별시 강남구 강남대로98길 16 파빌리온 3층,02-569-4976,매일10:00~24:00,37.5006999,127.0257801,2,14
비트포비아 강남,서울특별시 강남구 강남대로84길 33 대우디오빌플러스,02-555-4360,평일12:00~24:00,37.4974053,127.0288609,2,14
겟미더머니,서울특별시 강남구 강남대로94길 11 지하1층 겟미더머니,02-568-3026,평일16:00~24:00,37.4995109,127.0260466,2,14
서울이스케이프룸 강남2호점,서울특별시 강남구 강남대로102길 20,02-501-6502,평일17:00~24:00,37.5022199,127.0251056,2,14
누리로씨네마,서울특별시 강남구 테헤란로 218,02-1877-5355,평일10:00~20:00,37.501427,127.0382295,2,15
메가박스 강남,서울특별시 서초구 서초대로77길 3,1544-0070,매일09:00~01:00,37.498036,127.0243083,1,15
CGV 강남,서울특별시 강남구 강남대로 438,1544-1122,매일09:00~01:00,37.5016625,127.0241741,1,15
메가박스 강남대로,"서울특별시 강남구 강남대로 422(역삼동, 씨티빌딩)",1544-0070,매일09:00~01:00,37.500332,127.024755,1,15
블랙죤DVD,서울특별시 강남구 강남대로98길 8 선인빌딩,02-563-8021,평일12:00~07:00,37.499167,127.0257915,1,15
CLUB MIUMIU,서울특별시 서초구 서초대로78길 44 서초나산스위트,070-5121-5585,매일18:00~05:00,37.4938339,127.0263245,1,16
늘노래바,서울 강남구 테헤란로34길 5,1600-6576,매일21:00~06:00,37.5012191,127.0380376,1,16
